Contractor Employee Name,Contractor Employee E-mail,"NMCI Account Status (active, inactive, deleted)",Badged (Yes/No)
BLACKBURN GUNNAR U,,,Yes
BLACKBURN GWENDOLYN C,GWENDOLYN.C.BLACKBURN.TEST@US.NAVY.MIL,Active,Yes
BLACKBURN HAVEN R,HAVEN.R.BLACKBURN.TEST@US.NAVY.MIL,Active,Yes
BLACKBURN JAYCEE N,JAYCEE.N.BLACKBURN.TEST@US.NAVY.MIL,Active,Yes
BLACKBURN LONDON R,,,No
BLACKWELL BRADLEY N,BRADLEY.N.BLACKWELL.TEST@US.NAVY.MIL,Active,No
BLACKWELL JARRED R,,,No
BLACKWELL KARLIE P,,,No
BLACKWELL RAQUEL D,,,No
BLACKWELL RIHANNA Q,,Active,No
BLAIR ABAGAIL V,,,Yes
BLAIR BAILEE A,BAILEE.A.BLAIR.TEST@US.NAVY.MIL,,No
BLAIR COREY X,,,No
BLAIR CRISTINA L JR,,,No
BLAIR GREYSON E,,,Yes
BLAIR HUDSON B,,,No
BLAIR JAYCEE C,,,No
BLAIR LEO Q,LEO.Q.BLAIR.TEST@US.NAVY.MIL,Active,Yes
BLAIR LILLY W,,,Yes
BLAIR MAKAYLA Z IV,MAKAYLA.Z.BLAIR.TEST@US.NAVY.MIL,Active,Yes
BLAIR MATHEW P,,,Yes
BLAIR QUINTEN C,,,No
BLAIR TOMAS E,,,No
BLAKE ABBIE I,,,No
BLAKE ADRIENNE M,ADRIENNE.M.BLAKE.TEST@US.NAVY.MIL,Active,No
BLAKE DOMINIQUE B,DOMINIQUE.B.BLAKE.TEST@US.NAVY.MIL,Active,Yes
BLAKE JAREN X,JAREN.X.BLAKE.TEST@US.NAVY.MIL,Active,Yes
BLAKE LIA X,,,No
BLAKE MARTIN J,,,No
BLAKE PAXTON H,,,No
BLAKE XIMENA D,,,No
BLANCHARD ABIGAIL O,,,No
BLANCHARD CAMERON Z,,,No
BLANCHARD KAMDEN B II,,,Yes
BLANCHARD LEON J,,,No
BLANCHARD ROCKY O,ROCKY.O.BLANCHARD.TEST@US.NAVY.MIL,Deleted,Yes
BLANCHARD SANIYAH G,,,No
BLANCHARD TYLOR R,,,No
BLANKENSHIP ALEXIA I,,,No
BLANKENSHIP CARLOS L,CARLOS.L.BLANKENSHIP.TEST@US.NAVY.MIL,Active,Yes
BLANKENSHIP DAVIS H,DAVIS.H.BLANKENSHIP.TEST@US.NAVY.MIL,Active,Yes
BLANKENSHIP JAKE W,,,No
BLANKENSHIP LORENA E,,,No
BLANKENSHIP PEYTON G,PEYTON.G.BLANKENSHIP.TEST@US.NAVY.MIL,Active,Yes
BLANKENSHIP SKYLER J,SKYLER.J.BLANKENSHIP.TEST@US.NAVY.MIL,Active,No
BLANKENSHIP TODD D SR,,Deleted,Yes
BLEVINS DANGELO J,DANGELO.J.BLEVINS.TEST@US.NAVY.MIL,Active,Yes
BLEVINS JAIME N,,Active,Yes
BLEVINS JOSEPH P,JOSEPH.P.BLEVINS.TEST@US.NAVY.MIL,Active,No
BLEVINS LOGAN E JR,,,No
BLEVINS MIKE Z,MIKE.Z.BLEVINS.TEST@US.NAVY.MIL,Active,Yes
BLEVINS NICK P,,,No
BLEVINS NICOLETTE D,,,No
BLEVINS QUINTIN T,QUINTIN.T.BLEVINS.TEST@US.NAVY.MIL,Active,No
BLEVINS RAMON U,RAMON.U.BLEVINS.TEST@US.NAVY.MIL,Active,Yes
BLEVINS RAPHAEL R,RAPHAEL.R.BLEVINS.TEST@US.NAVY.MIL,Active,Yes
BLEVINS SAVION H,SAVION.H.BLEVINS.TEST@US.NAVY.MIL,Active,Yes
BLEVINS STEVE X,STEVE.X.BLEVINS.TEST@US.NAVY.MIL,Active,Yes
BLEVINS TROY Z,,,No
BOLTON BRYCEN B,BRYCEN.B.BOLTON.TEST@US.NAVY.MIL,Active,Yes
BOLTON CLARA J,,,No
BOLTON CLARK H,,,No
BOLTON MARIAM S,,Deleted,No
BOLTON MONICA C,,,No
BOND GENESIS T,GENESIS.T.BOND.TEST@US.NAVY.MIL,Active,Yes
BOND HECTOR T,,,No
BOND NIGEL T,NIGEL.T.BOND.TEST@US.NAVY.MIL,Active,Yes
BONILLA ALVIN C JR,,,No
BONILLA ARACELY G,,,Yes
BONILLA BERNARD F,,Deleted,No
BONILLA CLARA D,,,Yes
BONILLA LIBERTY H,,,No
BOOKER ELIAN V,,Deleted,No
BOOKER ELLIOT E,,,No
BOOKER FINNEGAN P,,Deleted,No
BOOKER JULIETTE M,,,No
BOOKER PATIENCE N,,,No
BOOKER SHAUN X III,SHAUN.X.BOOKER.TEST@US.NAVY.MIL,Active,Yes
BOOKER STEVEN G,,,No
BOONE ALICIA J,,,No
BOONE CHAYA D,,,No
BOONE JOHANA B,JOHANA.B.BOONE.TEST@US.NAVY.MIL,Active,Yes
BOONE MIRIAM X,MIRIAM.X.BOONE.TEST@US.NAVY.MIL,Active,Yes
BOONE SHYANNE A,,,Yes
BOOTH CIARA P JR,,,No
BOOTH DAYANA I,,,No
BOOTH JADON Q,JADON.Q.BOOTH.TEST@US.NAVY.MIL,Active,Yes
BOOTH TERRY B,,,No
BOWEN JAVION O JR,,Deleted,Yes
BOWEN MARIANNA Q,,,No
BOWEN MELVIN I,,,No
BOWEN SIMON E,,,No
BOWEN VINCENT K,VINCENT.K.BOWEN.TEST@US.NAVY.MIL,Deleted,Yes
BOWEN WAYNE M,,,Yes
BOWERS ALENA R,,,No
BOWERS ANGELICA K,,,No
BOWERS ANTWAN A,,,No
BOWERS BENNY O,,,Yes
BOWERS CHAD V,CHAD.V.BOWERS.TEST@US.NAVY.MIL,Active,Yes
BOWERS GENEVIEVE E,,,No
BOWERS HAYLEY L,HAYLEY.L.BOWERS.TEST@US.NAVY.MIL,,No
BOWERS HUDSON V,HUDSON.V.BOWERS.TEST@US.NAVY.MIL,Active,No
BOWERS VICTOR D,,,No
BOWERS ZAYNE P,,,No
BOWMAN BRUNO S,,,No
BOWMAN DESTIN O DR,DESTIN.O.BOWMAN.TEST@US.NAVY.MIL,,Yes
BOWMAN DESTIN R,,,No
BOWMAN ERIN H,,,Yes
BOWMAN JENNA M,,,No
BOWMAN LUCIANO Y,LUCIANO.Y.BOWMAN.TEST@US.NAVY.MIL,Active,Yes
BOWMAN PRESLEY H,,,No
BOYD BRAXTON O,BRAXTON.O.BOYD.TEST@US.NAVY.MIL,,No
BOYD MELANIE S,MELANIE.S.BOYD.TEST@US.NAVY.MIL,Active,No
BOYD TIERRA S,,,No
BOYER CAROL N,,,No
BOYER CHAD B,,,No
BOYER CHAIM N,,,No
BOYER ELYSE E,ELYSE.E.BOYER.TEST@US.NAVY.MIL,Active,No
BOYER FRANKIE G,FRANKIE.G.BOYER.TEST@US.NAVY.MIL,Active,Yes
BOYLE ELISABETH T,,,No
BOYLE FABIOLA D,,,No
BOYLE FELIPE X,FELIPE.X.BOYLE.TEST@US.NAVY.MIL,,No
BOYLE MARLENE F,,,Yes
BOYLE MILEY W,MILEY.W.BOYLE.TEST@US.NAVY.MIL,Deleted,No
BOYLE MYA W,,,No
BOYLE ZACHERY P,,,Yes
BRADFORD CHANEL V,CHANEL.V.BRADFORD.TEST@US.NAVY.MIL,Active,Yes
BRADFORD COLLIN U,,,No
BRADFORD JAIME W,,,No
BRADFORD JAMARI J,,,No
BRADFORD KAYLI V,KAYLI.V.BRADFORD.TEST@US.NAVY.MIL,Active,No
BRADFORD MATIAS O,MATIAS.O.BRADFORD.TEST@US.NAVY.MIL,Active,Yes
BRADFORD PERRY C,,,No
BRADFORD PRESTON R,,,No
BRADFORD TERRANCE M,TERRANCE.M.BRADFORD.TEST@US.NAVY.MIL,Active,Yes
BRADLEY ANABELLE B,ANABELLE.B.BRADLEY.TEST@US.NAVY.MIL,Active,No
BRADLEY CHLOE D,CHLOE.D.BRADLEY.TEST@US.NAVY.MIL,Active,Yes
BRADLEY DARIAN B,,,Yes
BRADLEY DEJA G,,,No
BRADLEY EMMANUEL H,EMMANUEL.H.BRADLEY.TEST@US.NAVY.MIL,Active,Yes
BRADLEY JUSTICE W,JUSTICE.W.BRADLEY.TEST@US.NAVY.MIL,Active,Yes
BRADLEY MAYRA K,MAYRA.K.BRADLEY.TEST@US.NAVY.MIL,Active,Yes
BRADLEY NYAH T,NYAH.T.BRADLEY.TEST@US.NAVY.MIL,Deleted,Yes
BRADLEY REGINA F JR,REGINA.F.BRADLEY.TEST@US.NAVY.MIL,Deleted,No
BRADLEY TREVON K,,,No
BRADSHAW AUGUST Z,AUGUST.Z.BRADSHAW.TEST@US.NAVY.MIL,Active,Yes
BRADSHAW BRENNAN B,,,No
BRADSHAW CHRISTINA B,CHRISTINA.B.BRADSHAW.TEST@US.NAVY.MIL,,No
BRADSHAW ELEANOR A,,,Yes
BRADSHAW ENRIQUE G,,,No
BRADY DOMINICK V,,,No
BRADY JACOBY J,JACOBY.J.BRADY.TEST@US.NAVY.MIL,Active,Yes
BRADY JOAQUIN B,JOAQUIN.B.BRADY.TEST@US.NAVY.MIL,Active,Yes
BRADY MAURICIO O,MAURICIO.O.BRADY.TEST@US.NAVY.MIL,Deleted,No
BRADY YAIR S,,,No
BRADY ZAIN M JR,,,No
BRADY ZAYDEN M,ZAYDEN.M.BRADY.TEST@US.NAVY.MIL,Active,No
BRANCH BROOKS E,,,No
BRANCH CELESTE Z,CELESTE.Z.BRANCH.TEST@US.NAVY.MIL,Active,No
BRANCH DANIELLE R,,Deleted,Yes
BRANCH IRVING F,,,No
BRANCH ISABEL Q,,,Yes
BRANCH LARRY X,LARRY.X.BRANCH.TEST@US.NAVY.MIL,Active,Yes
BRANCH SOREN L,,,No
BRANCH ZAVIER X,,Deleted,No
BRANDT ABRAM W,,,No
BRANDT ALAINA I,,,No
BRANDT ALEXANDER O,ALEXANDER.O.BRANDT.TEST@US.NAVY.MIL,Active,Yes
BRANDT ALEXANDRA B,ALEXANDRA.B.BRANDT.TEST@US.NAVY.MIL,Active,No
BRANDT DANIKA O,,,No
BRANDT JAYLA B,,,No
BRANDT NAOMI Y,,,No
BRANDT SEMAJ S,,,No
BRAUN ALEAH J,,,No
BRAUN GARRET T,GARRET.T.BRAUN.TEST@US.NAVY.MIL,Active,No
BRAUN GUY I,,Deleted,Yes
BRAUN KATLYN Y,KATLYN.Y.BRAUN.TEST@US.NAVY.MIL,Active,Yes
BRAY ADRIENNE O,,,No
BRAY BENJAMIN K JR,BENJAMIN.K.BRAY.TEST@US.NAVY.MIL,Active,No
BRAY DARIO M,DARIO.M.BRAY.TEST@US.NAVY.MIL,Active,Yes
BRAY DAYTON W,,,No
BRAY ESMERALDA O,,,Yes
BRAY JAXSON C,,,No
BRAY KATHARINE R,KATHARINE.R.BRAY.TEST@US.NAVY.MIL,Active,No
BRAY KYLEIGH A,KYLEIGH.A.BRAY.TEST@US.NAVY.MIL,Active,Yes
BRAY LEA A,,,No
BRAY NELSON Y,,,No
BRAY NICHOLE C,NICHOLE.C.BRAY.TEST@US.NAVY.MIL,,Yes
BRAY TATE J III,TATE.J.BRAY.TEST@US.NAVY.MIL,Active,No
BRENNAN AYANA H,,,No
BRENNAN CAYLA D,,,No
BRENNAN HARPER Z,HARPER.Z.BRENNAN.TEST@US.NAVY.MIL,Active,No
BRENNAN KEIRA Y,,,Yes
BRENNAN WILLIAM K,,,No
BRENNAN ZION Z,ZION.Z.BRENNAN.TEST@US.NAVY.MIL,Active,No
BREWER CARLO A,,Deleted,No
BREWER DIEGO F III,,,No
BREWER FRANKIE A,,,No
BREWER JAILYN A JR,,,No
BREWER KOBY N,KOBY.N.BREWER.TEST@US.NAVY.MIL,Active,Yes
BREWER ROBERTO C,,,No
BREWER TATE S,,,No
BRIDGES AYDAN S,,Deleted,No
BRIDGES BRICE J,,,No
BRIDGES CHASE M JR,CHASE.M.BRIDGES.TEST@US.NAVY.MIL,Active,Yes
BRIDGES CORNELIUS Q,CORNELIUS.Q.BRIDGES.TEST@US.NAVY.MIL,Active,Yes
BRIDGES FINNEGAN C,FINNEGAN.C.BRIDGES.TEST@US.NAVY.MIL,Active,Yes
BRIDGES GAVEN F,GAVEN.F.BRIDGES.TEST@US.NAVY.MIL,Active,Yes
BRIDGES HEAVEN R,HEAVEN.R.BRIDGES.TEST@US.NAVY.MIL,Active,Yes
BRIDGES KAIA J,,,No
BRIDGES MEGAN Z,,,No
BRIDGES SAGE B,,,No
BRIDGES SALVATORE Q,,,No
BRIGGS ANSLEY Z,ANSLEY.Z.BRIGGS.TEST@US.NAVY.MIL,Active,No
BRIGGS DANE K,,,No
BRIGGS KARLA B,,,No
BRIGGS KAYLEIGH S,,,No
BRIGGS MALAKAI S,,,No
BRIGGS NATHALIE L,,,No
BRIGHT AMARIS E,AMARIS.E.BRIGHT.TEST@US.NAVY.MIL,Active,No
BRIGHT ARIANNA M,,,No
BRIGHT DARRELL V,,,No
BRIGHT DILLAN R II,DILLAN.R.BRIGHT.TEST@US.NAVY.MIL,Active,Yes
BRIGHT JANELLE I,,Deleted,No
BRIGHT JESSIE V,,,No
BRIGHT MICHAELA M,,,No
BRIGHT PAULINA S,,,No
BROCK EUGENE L,EUGENE.L.BROCK.TEST@US.NAVY.MIL,Active,Yes
BROCK JAREN D JR,JAREN.D.BROCK.TEST@US.NAVY.MIL,Active,Yes
BROCK SAIGE O,SAIGE.O.BROCK.TEST@US.NAVY.MIL,Active,No
BROCK ZACHERY K,,Active,No
BROOKS JEFFERSON E,,,No
BROOKS KAYLEE H,,Deleted,No
BROOKS NICOLAS B,,,No
BROOKS SIENNA G,,,Yes
BROOKS WAYLON O JR,WAYLON.O.BROOKS.TEST@US.NAVY.MIL,Active,Yes
BROOKS WESTON C,,,No
BROOKS ZAIRE G,,,Yes
BROWN CARLEY W,,,No
BROWN ENZO C,ENZO.C.BROWN.TEST@US.NAVY.MIL,Active,Yes
BROWN IZABELLA Z,,Deleted,Yes
BROWN KEAGAN J,KEAGAN.J.BROWN.TEST@US.NAVY.MIL,,No
BROWN ZOIE O,,,Yes
BROWNING ALEJANDRA G,ALEJANDRA.G.BROWNING.TEST@US.NAVY.MIL,Active,Yes
BROWNING ANA V,,,Yes
BROWNING BRYAN G,BRYAN.G.BROWNING.TEST@US.NAVY.MIL,Active,No
BROWNING CLARISSA B,,,No
BROWNING PAYTON H,,,No
BROWNING RYLIE K,,,Yes
BROWNING SAMUEL X,SAMUEL.X.BROWNING.TEST@US.NAVY.MIL,Active,No
BRUCE AHMED B,,,No
BRUCE ALICIA I,ALICIA.I.BRUCE.TEST@US.NAVY.MIL,Active,Yes
BRUCE CALEB A,CALEB.A.BRUCE.TEST@US.NAVY.MIL,Active,No
BRUCE FELICIA B,,,No
BRUCE JUDE H,JUDE.H.BRUCE.TEST@US.NAVY.MIL,Active,Yes
BRUCE KATELYN K,,,No
BRUCE MESSIAH F,MESSIAH.F.BRUCE.TEST@US.NAVY.MIL,Deleted,Yes
BRUCE MILES T,,,Yes
BRYAN JIMENA O,,,No
BRYAN NASH V,,,No
BRYAN RENE U,RENE.U.BRYAN.TEST@US.NAVY.MIL,Active,Yes
BRYAN ZARA J,,Deleted,No
BRYANT CORY N,,,No
BRYANT HARPER D,,,Yes
BRYANT OMAR H,OMAR.H.BRYANT.TEST@US.NAVY.MIL,,No
BRYANT STEPHANY G,STEPHANY.G.BRYANT.TEST@US.NAVY.MIL,Active,No
BRYANT WILLIE S,,,Yes
BUCHANAN ALANNA K,,,No
BUCHANAN ANIYAH D,,,No
BUCHANAN BRICE E,BRICE.E.BUCHANAN.TEST@US.NAVY.MIL,Active,No
BUCHANAN JANELLE X,,,No
BUCHANAN JARED N,,,No
BUCHANAN LAYNE O,,,No
BUCHANAN QUINCY Z,QUINCY.Z.BUCHANAN.TEST@US.NAVY.MIL,Active,Yes
BUCK CHRISTOPHER A,,,No
BUCK CYRUS L IV,CYRUS.L.BUCK.TEST@US.NAVY.MIL,Active,No
BUCK GAEL K,,,No
BUCK GAVYN M,,Active,No
BUCK GIANNI K,GIANNI.K.BUCK.TEST@US.NAVY.MIL,Active,Yes
BUCK JOCELYN O,JOCELYN.O.BUCK.TEST@US.NAVY.MIL,,Yes
BUCK LANDON P,LANDON.P.BUCK.TEST@US.NAVY.MIL,Active,Yes
BUCK NICHOLE I,,,No
BUCKLEY BARRY V,BARRY.V.BUCKLEY.TEST@US.NAVY.MIL,,No
BUCKLEY CAEL A,CAEL.A.BUCKLEY.TEST@US.NAVY.MIL,Active,No
BUCKLEY JESSICA M,,,Yes
BUCKLEY KATHRYN D,KATHRYN.D.BUCKLEY.TEST@US.NAVY.MIL,Active,Yes
BULLOCK ARMANDO A,,,Yes
BULLOCK CALISTA A,CALISTA.A.BULLOCK.TEST@US.NAVY.MIL,Active,Yes
BULLOCK DANA M,,,No
BULLOCK DAPHNE Y,,,No
BULLOCK FABIAN Q,,,No
BULLOCK GREGORY Z,GREGORY.Z.BULLOCK.TEST@US.NAVY.MIL,Active,Yes
BULLOCK HEIDI B,,,No
BULLOCK IRVING S,IRVING.S.BULLOCK.TEST@US.NAVY.MIL,Active,Yes
BULLOCK MAIA P,MAIA.P.BULLOCK.TEST@US.NAVY.MIL,Active,Yes
BULLOCK NYASIA M,,,No
BULLOCK ZION X,,,No
BURCH ARACELI E,,,No
BURCH ASA B,ASA.B.BURCH.TEST@US.NAVY.MIL,Active,Yes
BURCH SANAA X,,,No
BURGESS CHRISTINE C,,,Yes
BURGESS FINNEGAN Z,FINNEGAN.Z.BURGESS.TEST@US.NAVY.MIL,Active,Yes
BURGESS LUNA Z,,,No
BURGESS NICK D,NICK.D.BURGESS.TEST@US.NAVY.MIL,Active,No
BURGESS SOFIA D,,,No
BURKE ANN B,,,No
BURKE ANTHONY T,ANTHONY.T.BURKE.TEST@US.NAVY.MIL,Active,No
BURKE ELMER S,,,No
BURKE JOAN G,,,No
BURKE LILLY F,,,No
BURKE STELLA K,,,No
BURNETT CECELIA E,CECELIA.E.BURNETT.TEST@US.NAVY.MIL,Active,No
BURNETT CORY M,CORY.M.BURNETT.TEST@US.NAVY.MIL,Active,Yes
BURNETT EMERSON P,EMERSON.P.BURNETT.TEST@US.NAVY.MIL,Active,Yes
BURNETT GIDEON C,,Active,No
BURNETT GONZALO H,GONZALO.H.BURNETT.TEST@US.NAVY.MIL,Active,Yes
BURNETT MARSHALL N,,,No
BURNETT SYDNEE D,SYDNEE.D.BURNETT.TEST@US.NAVY.MIL,Active,Yes
BURNS CHANEL L,,,No
BURNS DARWIN H,DARWIN.H.BURNS.TEST@US.NAVY.MIL,Active,No
BURNS KARLEE L,,,No
BURNS KOLTON B,KOLTON.B.BURNS.TEST@US.NAVY.MIL,Active,No
BURNS MARIBEL Q,MARIBEL.Q.BURNS.TEST@US.NAVY.MIL,Active,Yes
BURNS TIANNA M,,Active,No
BURTON BRADLEY Q,,,No
BURTON COLE D,,,Yes
BURTON ELISA I,,,No
BURTON GRACELYN U,,,No
BURTON HADEN E,HADEN.E.BURTON.TEST@US.NAVY.MIL,Active,Yes
BURTON SOREN E,,,No
BUSH DUNCAN X,,,No
BUSH IBRAHIM I,IBRAHIM.I.BUSH.TEST@US.NAVY.MIL,Active,No
BUSH JACK I,,,Yes
BUSH KAIDEN I,,,No
BUSH KYRA F,,Active,No
BUSH MELVIN E,MELVIN.E.BUSH.TEST@US.NAVY.MIL,,Yes
BUSH NOE Y,NOE.Y.BUSH.TEST@US.NAVY.MIL,,Yes
BUSH YULIANA L,,,No
BUTLER BRIDGET P,,,No
BUTLER KALEIGH U,KALEIGH.U.BUTLER.TEST@US.NAVY.MIL,Active,Yes
BUTLER PATRICK L,PATRICK.L.BUTLER.TEST@US.NAVY.MIL,Deleted,Yes
BUTLER PAYTON N,,,Yes
BUTLER QUINCY J,QUINCY.J.BUTLER.TEST@US.NAVY.MIL,,No
BUTLER STEPHON L,,,No
BYRD ADELAIDE L,ADELAIDE.L.BYRD.TEST@US.NAVY.MIL,Active,Yes
BYRD CHRISTINE J,,,No
BYRD ZANE N,ZANE.N.BYRD.TEST@US.NAVY.MIL,,No
CABRERA BRANDON Y,,,Yes
CABRERA DANDRE C,,Deleted,Yes
CABRERA DARRELL L,DARRELL.L.CABRERA.TEST@US.NAVY.MIL,Deleted,Yes
CABRERA SKYLER X,SKYLER.X.CABRERA.TEST@US.NAVY.MIL,,No
CAIN ARIEL D,,,No
CAIN BRANSON Z,BRANSON.Z.CAIN.TEST@US.NAVY.MIL,Active,Yes
CAIN DIAMOND O,,Deleted,Yes
CAIN JAREN L,JAREN.L.CAIN.TEST@US.NAVY.MIL,Active,Yes
CAIN KASSIDY W,,,No
CAIN KENDALL G,KENDALL.G.CAIN.TEST@US.NAVY.MIL,Active,Yes
CALDERON ALFREDO N,ALFREDO.N.CALDERON.TEST@US.NAVY.MIL,Deleted,No
CALDERON EDGAR R,EDGAR.R.CALDERON.TEST@US.NAVY.MIL,Active,Yes
CALDERON KODY K,,,No
CALDERON MACKENZIE R,MACKENZIE.R.CALDERON.TEST@US.NAVY.MIL,Active,No
CALDERON PABLO H,PABLO.H.CALDERON.TEST@US.NAVY.MIL,,Yes
CALDERON REID N,REID.N.CALDERON.TEST@US.NAVY.MIL,Active,Yes
CALDERON RYAN X,,,No
CALDERON TYLOR W,TYLOR.W.CALDERON.TEST@US.NAVY.MIL,Active,Yes
CALDERON ZION A,ZION.A.CALDERON.TEST@US.NAVY.MIL,,Yes
CALDWELL ADRIEL F,,,No
CALDWELL COREY M,,,No
CALDWELL IYANA U,IYANA.U.CALDWELL.TEST@US.NAVY.MIL,Active,Yes
CALDWELL ZACHERY P,ZACHERY.P.CALDWELL.TEST@US.NAVY.MIL,Active,Yes
CALDWELL ZANE E,,,No
CALHOUN AISHA U,,,No
CALHOUN CALISTA K,,,No
CALHOUN CIARA V JR,,,No
CALHOUN DONOVAN B,,,No
CALHOUN HARLEY W,,,No
CALHOUN ISIAH E JR,,,No
CALHOUN WILLOW W,WILLOW.W.CALHOUN.TEST@US.NAVY.MIL,Active,No
CALLAHAN ALIVIA T,,,No
CALLAHAN AVERY T,AVERY.T.CALLAHAN.TEST@US.NAVY.MIL,Active,Yes
CALLAHAN GARRETT E,,,Yes
CALLAHAN LITZY W,LITZY.W.CALLAHAN.TEST@US.NAVY.MIL,,No
CALLAHAN PERLA B,PERLA.B.CALLAHAN.TEST@US.NAVY.MIL,Active,No
CALLAHAN SAMMY B,,,No
CAMACHO ALDO T,ALDO.T.CAMACHO.TEST@US.NAVY.MIL,Active,Yes
CAMACHO CHARLOTTE D,,,No
CAMACHO CRISTAL U,CRISTAL.U.CAMACHO.TEST@US.NAVY.MIL,Active,Yes
CAMACHO EZEQUIEL F,EZEQUIEL.F.CAMACHO.TEST@US.NAVY.MIL,,Yes
CAMACHO FREDRICK P,FREDRICK.P.CAMACHO.TEST@US.NAVY.MIL,Active,Yes
CAMACHO PARIS G,PARIS.G.CAMACHO.TEST@US.NAVY.MIL,Active,Yes
CAMACHO REGINALD Y,,,No
CAMERON ADRIEL W JR,,,No
CAMERON HOPE M,,Deleted,Yes
CAMERON KAIA H,,Deleted,Yes
CAMERON SUSAN X,,,No
CAMERON XZAVIER T,,Deleted,Yes
CAMERON YAHIR F,,,No
CAMPBELL DORIAN P JR,,,No
CAMPBELL EMERY O,,Active,No
CAMPBELL FRANCIS D,FRANCIS.D.CAMPBELL.TEST@US.NAVY.MIL,Active,Yes
CAMPBELL STELLA O,STELLA.O.CAMPBELL.TEST@US.NAVY.MIL,Deleted,No
CAMPOS DANE O,,,No
CAMPOS DARNELL G,DARNELL.G.CAMPOS.TEST@US.NAVY.MIL,Active,No
CAMPOS EDGAR U,,,No
CAMPOS GRETA P,,,Yes
CAMPOS JAYDEN B,JAYDEN.B.CAMPOS.TEST@US.NAVY.MIL,Active,Yes
CAMPOS SHAWN D,,,No
CANNON COLT N,COLT.N.CANNON.TEST@US.NAVY.MIL,Active,Yes
CANNON FERNANDA A,,,No
CANNON GAEL A,,,No
CANNON JACOBY Y,JACOBY.Y.CANNON.TEST@US.NAVY.MIL,,No
CANNON KELLY C,,,No
CANNON YAHIR L,YAHIR.L.CANNON.TEST@US.NAVY.MIL,,Yes
CANTRELL AIDAN Z,AIDAN.Z.CANTRELL.TEST@US.NAVY.MIL,,Yes
CANTRELL BROOKS G,BROOKS.G.CANTRELL.TEST@US.NAVY.MIL,Deleted,Yes
CANTRELL ELVIS S,,,Yes
CANTRELL GIA X,,,Yes
CANTRELL JAX P,JAX.P.CANTRELL.TEST@US.NAVY.MIL,Active,Yes
CANTRELL JOAQUIN D,,,No
CANTRELL KEVEN O,,,No
CANTRELL LILA K JR,,,No
CANTRELL SONNY N,,,No
CANTU ALIYAH V,,,No
CANTU DEXTER Q,,,No
CANTU EMILIA R,,Active,Yes
CANTU JAYCE I,,Deleted,No
CANTU KIAN T,,Deleted,No
CANTU RONAN A,,,No
CANTU TARYN R,,Active,Yes
CARDENAS ISABELLE O,ISABELLE.O.CARDENAS.TEST@US.NAVY.MIL,Active,Yes
CARDENAS JAMES P,JAMES.P.CARDENAS.TEST@US.NAVY.MIL,Active,Yes
CARDENAS KENNA Y,KENNA.Y.CARDENAS.TEST@US.NAVY.MIL,Active,Yes
CARDENAS KIERAN N,KIERAN.N.CARDENAS.TEST@US.NAVY.MIL,Active,Yes
CARDENAS LAILA P II,LAILA.P.CARDENAS.TEST@US.NAVY.MIL,Active,No
CARDENAS MELANY R,MELANY.R.CARDENAS.TEST@US.NAVY.MIL,Active,Yes
CARDENAS ZAVIER Y JR,ZAVIER.Y.CARDENAS.TEST@US.NAVY.MIL,,Yes
CAREY ABRAHAM V,,,No
CAREY AVA Y,,,No
CAREY DAVIS I,,,No
CAREY JEWEL K,JEWEL.K.CAREY.TEST@US.NAVY.MIL,Active,No
CAREY NYLA Y,NYLA.Y.CAREY.TEST@US.NAVY.MIL,,No
CAREY SANDRA B,SANDRA.B.CAREY.TEST@US.NAVY.MIL,,Yes
CARLSON CIERRA Q,,,Yes
CARLSON JULIE E,JULIE.E.CARLSON.TEST@US.NAVY.MIL,,No
CARLSON KAYDEN P,,,No
CARLSON PORTER N,PORTER.N.CARLSON.TEST@US.NAVY.MIL,Active,No
CARLSON RILEY N,,,No
CARLSON TOMMY Q,,,No
CARNEY AUTUMN V,,,No
CARNEY BRENDON F,BRENDON.F.CARNEY.TEST@US.NAVY.MIL,Active,Yes
CARNEY HARRY E JR,,,No
CARNEY MAKAYLA A,MAKAYLA.A.CARNEY.TEST@US.NAVY.MIL,,Yes
CARPENTER HARMONY N,,Active,Yes
CARPENTER RORY T,,,No
CARPENTER RYLAN Y,,,No
CARPENTER SAM L,,,No
CARR ALISON Y,ALISON.Y.CARR.TEST@US.NAVY.MIL,Active,No
CARR ALISSA I,,,No
CARR JAYLON X JR,,,No
CARR LACI T,LACI.T.CARR.TEST@US.NAVY.MIL,Active,No
CARR LAYLA J,,,No
CARR MARISOL P,,,No
CARR MORGAN H,MORGAN.H.CARR.TEST@US.NAVY.MIL,Active,Yes
CARRILLO CORNELIUS I,CORNELIUS.I.CARRILLO.TEST@US.NAVY.MIL,Active,No
CARRILLO JULIANNA P,,,No
CARRILLO PHILLIP B,PHILLIP.B.CARRILLO.TEST@US.NAVY.MIL,Active,Yes
CARROLL ARYANA Z,,,No
CARROLL CARLOS K,,,No
CARROLL CESAR X,,,No
CARROLL CIARA F,CIARA.F.CARROLL.TEST@US.NAVY.MIL,,Yes
CARROLL DAMION C,,,No
CARROLL GUY L,,,No
CARROLL MADELYNN D,,,No
CARROLL NADIA K,NADIA.K.CARROLL.TEST@US.NAVY.MIL,Active,Yes
CARROLL REBECA N,,,No
CARSON JASMINE V,,,No
